sexo,tramo,n,pension_sin_media,pension_con_media,ganancia_media,pension_sin_p10,pension_sin_p50,pension_sin_p90,pension_con_p10,pension_con_p50,pension_con_p90,n_adopt,ahorro_publico_anual_medio_por_adoptante,ganancia_neta_anual_media_por_adoptante
H,2,1184,298.09246826171875,299.6427917480469,1.5503171682357788,94.30962371826172,269.16668701171875,552.3975830078125,94.88948059082031,269.4596252441406,554.9573364257812,30,24.149194717407227,61.18584442138672
H,3,130662,1911.885009765625,1931.4822998046875,19.59743881225586,1316.631103515625,1846.2659912109375,2607.208251953125,1324.411376953125,1863.4078369140625,2640.937744140625,6600,153.128662109375,387.9757995605469
H,4,546334,5288.9951171875,5373.1015625,84.10598754882812,4496.25244140625,5200.5771484375,6214.66796875,4512.478515625,5264.9267578125,6373.9794921875,37855,422.5973205566406,1213.8411865234375
H,5,1107457,9991.82421875,10222.0419921875,230.2173309326172,8799.263671875,9860.4892578125,11379.494140625,8835.3505859375,10010.6357421875,11866.3955078125,111034,799.41748046875,2296.1953125
H,6,190902,16165.9208984375,17091.2890625,925.3660888671875,14970.2373046875,16032.84765625,17559.00390625,15076.154296875,16514.65234375,20047.677734375,47568,1292.927001953125,3713.7197265625
H,7,11727,28494.12890625,31291.634765625,2797.50146484375,23805.689453125,28245.4765625,33504.68359375,24794.373046875,30779.294921875,38556.04296875,4687,2272.21728515625,6999.423828125
H,8,6488,65143.29296875,69592.25,4448.95751953125,50781.28125,64500.7109375,80290.7734375,53938.5859375,68981.453125,85957.2578125,2905,3225.60009765625,9936.259765625
H,9,287637,235458.359375,240433.203125,4974.88623046875,140958.984375,230810.625,337242.3125,145934.09375,235803.25,342375.84375,144014,3225.600341796875,9936.265625
H,10,471932,1117273.25,1122247.625,4974.47509765625,615098.0,1092117.25,1659517.875,620032.25,1096950.625,1664448.75,236267,3225.600341796875,9936.27734375
M,1,99136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994,0.0,0.0
M,2,8484,294.9170227050781,296.3620300292969,1.4450395107269287,98.59613037109375,274.49298095703125,524.2213745117188,98.77998352050781,275.6283264160156,527.0706176757812,252,24.199750900268555,48.64966583251953
M,3,9085,1910.248046875,1925.9681396484375,15.720040321350098,1315.9886474609375,1838.5242919921875,2611.71142578125,1322.564453125,1851.0516357421875,2640.427978515625,458,155.11154174804688,311.8265075683594
M,4,466708,5291.6943359375,5362.17578125,70.48199462890625,4498.2919921875,5205.140625,6214.6201171875,4514.5107421875,5263.6611328125,6343.78173828125,32742,423.26483154296875,1004.657958984375
M,5,1102802,9993.5751953125,10183.595703125,190.02366638183594,8801.6044921875,9862.466796875,11380.310546875,8837.533203125,10009.71484375,11752.357421875,110430,799.488525390625,1897.65966796875
M,6,121975,16165.4736328125,16930.181640625,764.7045288085938,14972.7294921875,16033.333984375,17554.154296875,15076.8232421875,16512.984375,19412.498046875,30389,1293.1295166015625,3069.361328125
M,7,9442,28478.916015625,30864.345703125,2385.42822265625,23713.90234375,28230.599609375,33611.3515625,24648.177734375,30423.18359375,37782.546875,3803,2280.879638671875,5922.4853515625
M,8,17839,64938.5,68764.03125,3825.5400390625,51049.16796875,64135.13671875,79901.296875,53833.34765625,68054.8828125,84962.6796875,8148,3225.599853515625,8375.5283203125
M,9,425908,235256.390625,239438.40625,4181.9814453125,140875.375,230554.5,337322.03125,144900.15625,234674.390625,341540.28125,212660,3225.6005859375,8375.52734375
M,10,796634,1117167.125,1121364.375,4197.6455078125,614919.75,1092658.625,1660374.25,619051.1875,1096899.25,1664543.875,399257,3225.599609375,8375.5283203125
